panel,metric,value,value_percent,n,true_fog,true_mist,true_clear,station,low_true,low_pred,true_class,predicted_class,count
station_event_sites,accuracy,0.97431906614786,97.431906614786,1285.0,,,,ZSXZ,3.0,33.0,,,
station_event_sites,low_vis_precision,0.2307692218934914,23.07692218934914,1285.0,,,,ZSYA,6.0,26.0,,,
station_event_sites,low_vis_recall,0.9999998333333612,99.99998333333612,1285.0,,,,ZSYA,6.0,26.0,,,
station_event_sites,accuracy,0.9828793774319066,98.28793774319065,1285.0,,,,ZSYA,6.0,26.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZSYC,1.0,4.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZSYC,1.0,4.0,,,
station_event_sites,accuracy,0.9961089494163424,99.61089494163424,1285.0,,,,ZSYC,1.0,4.0,,,
station_event_sites,low_vis_precision,0.2499999843750009,24.99999843750009,1285.0,,,,ZSYN,4.0,16.0,,,
station_event_sites,low_vis_recall,0.9999997500000624,99.99997500000623,1285.0,,,,ZSYN,4.0,16.0,,,
station_event_sites,accuracy,0.9898832684824904,98.98832684824905,1285.0,,,,ZSYN,4.0,16.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZSYT,4.0,13.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZSYT,4.0,13.0,,,
station_event_sites,accuracy,0.9867704280155642,98.67704280155642,1285.0,,,,ZSYT,4.0,13.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZSZS,1.0,17.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZSZS,1.0,17.0,,,
station_event_sites,accuracy,0.9859922178988328,98.59922178988329,1285.0,,,,ZSZS,1.0,17.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1270.0,,,,ZUAS,15.0,17.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1270.0,,,,ZUAS,15.0,17.0,,,
station_event_sites,accuracy,0.9748031496062992,97.48031496062993,1270.0,,,,ZUAS,15.0,17.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZUBD,1.0,1.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZUBD,1.0,1.0,,,
station_event_sites,accuracy,0.998443579766537,99.8443579766537,1285.0,,,,ZUBD,1.0,1.0,,,
station_event_sites,low_vis_precision,0.3809523749055178,38.09523749055178,807.0,,,,ZUBJ,29.0,63.0,,,
station_event_sites,low_vis_recall,0.8275861783590973,82.75861783590973,807.0,,,,ZUBJ,29.0,63.0,,,
station_event_sites,accuracy,0.9417596034696406,94.17596034696406,807.0,,,,ZUBJ,29.0,63.0,,,
station_event_sites,low_vis_precision,0.2499999895833337,24.999998958333368,1285.0,,,,ZUCK,7.0,24.0,,,
station_event_sites,low_vis_recall,0.857142734693895,85.7142734693895,1285.0,,,,ZUCK,7.0,24.0,,,
station_event_sites,accuracy,0.983657587548638,98.36575875486379,1285.0,,,,ZUCK,7.0,24.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZUGU,6.0,1.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZUGU,6.0,1.0,,,
station_event_sites,accuracy,0.9945525291828794,99.45525291828794,1285.0,,,,ZUGU,6.0,1.0,,,
station_event_sites,low_vis_precision,0.1249999960937501,12.49999960937501,1285.0,,,,ZUGY,7.0,32.0,,,
station_event_sites,low_vis_recall,0.57142848979593,57.142848979593,1285.0,,,,ZUGY,7.0,32.0,,,
station_event_sites,accuracy,0.9750972762645914,97.50972762645914,1285.0,,,,ZUGY,7.0,32.0,,,
station_event_sites,low_vis_precision,0.0410958901294802,4.10958901294802,1285.0,,,,ZULB,11.0,146.0,,,
station_event_sites,low_vis_recall,0.5454544958677732,54.545449586777316,1285.0,,,,ZULB,11.0,146.0,,,
station_event_sites,accuracy,0.8840466926070039,88.40466926070039,1285.0,,,,ZULB,11.0,146.0,,,
station_event_sites,low_vis_precision,0.47540982827197,47.540982827197,1285.0,,,,ZULZ,47.0,61.0,,,
station_event_sites,low_vis_recall,0.6170212634676328,61.70212634676327,1285.0,,,,ZULZ,47.0,61.0,,,
station_event_sites,accuracy,0.9540856031128404,95.40856031128403,1285.0,,,,ZULZ,47.0,61.0,,,
station_event_sites,low_vis_precision,0.3103448265160523,31.034482651605227,1285.0,,,,ZUMT,113.0,290.0,,,
station_event_sites,low_vis_recall,0.7964601699428304,79.64601699428304,1285.0,,,,ZUMT,113.0,290.0,,,
station_event_sites,accuracy,0.7976653696498055,79.76653696498055,1285.0,,,,ZUMT,113.0,290.0,,,
station_event_sites,low_vis_precision,0.1249999843750019,12.49999843750019,1285.0,,,,ZUMY,1.0,8.0,,,
station_event_sites,low_vis_recall,0.999999000001,99.9999000001,1285.0,,,,ZUMY,1.0,8.0,,,
station_event_sites,accuracy,0.993774319066148,99.3774319066148,1285.0,,,,ZUMY,1.0,8.0,,,
station_event_sites,low_vis_precision,0.6481481361454049,64.81481361454048,1285.0,,,,ZUNC,63.0,54.0,,,
station_event_sites,low_vis_recall,0.5555555467372135,55.55555467372135,1285.0,,,,ZUNC,63.0,54.0,,,
station_event_sites,accuracy,0.9501945525291828,95.01945525291828,1285.0,,,,ZUNC,63.0,54.0,,,
station_event_sites,low_vis_precision,0.2499999982638889,24.99999982638889,1285.0,,,,ZUQJ,43.0,144.0,,,
station_event_sites,low_vis_recall,0.8372092828555981,83.72092828555981,1285.0,,,,ZUQJ,43.0,144.0,,,
station_event_sites,accuracy,0.8980544747081712,89.80544747081713,1285.0,,,,ZUQJ,43.0,144.0,,,
